Id,Comfort,Floor,FurnishedAndFit,LivingSurface,Neighborhood,NumberOfBathrooms,NumberOfParkingSpaces,NumberOfRooms,Partitioning,PossibilityOfParking,Price,PropertyStatus,PropertyType,TotalNumberOfFloors,YearBuilt
0470F71D-0E93-4571-B94E-00028F798FED,-,0,-,105,Pacurari,0,0,4,-,False,75000,Nou,-,0,2017
023BAD7E-F32C-4DF3-BB8F-000A348CE0D9,-,4,-,40,Centru Civic,0,0,2,Decomandat,False,65175,-,-,0,2019
8313FEA5-E619-421B-B2A2-001D1078E3F4,-,0,-,140,Valea Adanca,0,0,4,-,False,90000,Nou,-,0,2010
07A76FEA-1BDD-468F-8EC0-002CB9D20513,1,3,Nemobilat,45,Podu Ros,1,0,2,Semidecomandat,False,47900,Bun,Bloc de apartamente,4,1964
609F94AF-F205-4849-B9A6-002D4A3F0BD3,Lux,2,-,59,Popas Pacurari,0,0,2,Decomandat,False,49950,Nou,Bloc de apartamente,0,2018
E2F50386-B706-4634-9B2E-0047723A4EE2,-,4,-,58,Podu Ros,0,0,3,Semidecomandat,False,40000,-,-,0,1977
9D7CAAC6-AEA7-45E2-B91C-0061CA099EA7,-,1,-,59,Pacurari,0,0,2,Decomandat,False,47000,-,-,0,2017
45674BBD-E6E4-48E4-A9FD-00769D8F7F84,-,5,-,35,Pacurari,0,0,1,Decomandat,False,25000,-,-,0,1978
4B697BA3-43ED-459B-BB65-0079B4F02524,-,1,-,65,Alexandru cel Bun,0,0,3,Semidecomandat,False,41500,-,-,0,1978
ECABA966-02E2-448D-9B2E-0086596E2D73,-,0,-,225,Bucium,0,0,5,-,False,295000,-,-,0,2004
38F865FE-F997-48B8-8334-0088A913542C,-,5,-,66,Tudor Vladimirescu,0,0,2,Decomandat,False,70275,-,-,0,2017
571FB3C1-AD6C-4C9B-AA95-009DF2AB403D,-,6,-,59,Piata Unirii,0,0,3,Semidecomandat,False,74900,De renovat,Bloc de apartamente,6,1961
631F819E-5F2B-465B-B307-00C0107B3FD7,-,1,-,60,Pacurari,0,0,2,Decomandat,False,48000,-,-,0,2018
440ADD02-2A3B-4A58-832B-00C65CB63E0F,-,2,-,62,Pacurari,0,0,2,Decomandat,False,49700,-,-,0,2017
B1D65174-E0BB-45FA-975A-00C70F9B9B74,-,3,-,77,Pacurari,0,0,3,Decomandat,False,58500,-,-,0,2016
A21688DC-C54D-474E-958D-00DA2CB61453,1,1,-,100,Aeroport,0,0,4,Decomandat,False,89000,Bun,Bloc de apartamente,0,1991
3716D326-B0EC-4CC0-A35F-00ED8DF5CFD0,-,5,-,52,Mircea cel Batran,0,0,2,Decomandat,False,41900,-,-,0,1977
B3E51563-46D2-4ACC-8ED1-010625909270,-,2,-,17,Frumoasa,0,0,0,-,False,10900,-,-,0,1979
F567A03B-0924-430E-9E83-01219920D37B,1,3,-,85,Podu Ros,2,0,4,Decomandat,False,100000,Bun,Bloc de apartamente,4,1969
5A3B2272-9FFF-4D3F-94B5-01462823159E,-,2,-,77,Podu Ros,0,0,3,Decomandat,False,71000,-,-,0,1970
17ABEE2E-6AFD-4A94-B8BA-01579987D032,-,1,-,53,Tatarasi,0,0,2,Decomandat,False,56500,-,-,0,2016
35DA2734-97BC-4B90-83CC-0184AFF2C5BF,-,4,-,56,Canta,0,0,2,Decomandat,False,50000,-,-,0,1983
54DA2E71-2341-4236-A107-018FB3496124,-,8,Complet,80,Centru Civic,0,0,4,Decomandat,False,93000,Bun,Bloc de apartamente,8,1979
668AFBD8-8FEB-4985-9F76-0198F249FE90,Lux,2,-,58,Popas Pacurari,0,0,2,Decomandat,False,49130,Nou,Bloc de apartamente,0,2017
F4902923-241C-4A01-829E-01B11DD8EE26,-,2,-,24,Nicolina,0,0,0,-,False,30500,-,-,0,1978
4D5C2C94-B967-4B22-AE8F-01B5008B96C1,-,4,-,55,Podu Ros,0,0,3,Semidecomandat,False,48500,-,-,0,1963
